Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Generex / EpiVax,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; Ii-Key peptide,,Unknown,,"Same platform as vaccine candidates for HIV, SARS-CoV, Influenza",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Heat Biologics (Zolovax)/ University of Miami/ Waisman Biomanufacturing,Vaccine,Protein subunit,Pre-clinical,Animal data released August 2020,Protein subunit (gp-96 backbone),,Unknown,,"Same platform as vaccine candidates for cancer (NSCLC), HIV, malaria, Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/13/2020
"Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria",Vaccine,Protein subunit,Pre-clinical,Unknown,Subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
iBio / CC-Pharming,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit; Subunit protein, plant produced",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ImmunoPrecise/ LiteVax BV,Vaccine,Protein subunit,Pre-clinical,Unknown,Spike-based (epitope screening),,TRANSVAC2,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"IMV, Inc., Canadian Center for Vaccinology at Dalhousie University, Izaak Walton Killam Health Center, Nova Scotia Health Authority, Canadian Immunization Research Network, University of Laval, Global Urgent and Advanced Research and Development in Canada",Vaccine,Protein subunit,Pre-clinical,Phase I/II expected to begin by end of 2020,"Protein subunit; DPX-COVID-19, protein subunit, peptide antigens formulated in LNP",,"National Research Council of Canada Industrial Research Assistance Program (NRC IRAP), Atlantic Canada Opportunities Agency (ACOA), and Next Generation Manufacturing Canada (NGen)",,"Same platform as vaccine candidates for cancer and infectious diseases, including malaria and anthrax",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
InnoMedica,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, TaliCoVax19 ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Innovax / Xiamen University / GSK,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; COVID-19 XWG-03 truncated Spike proteins,,Unknown,,"Same platform as vaccine candidates for HPV  
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Intravacc/Epivax,Vaccine,Protein subunit,Pre-clinical,Unknown,Outer Membrane Vesicle (OMV)-peptide,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Intravacc/Epivax,Vaccine,Protein subunit,Pre-clinical,Unknown,Outer Membrane Vesicle (OMV)-subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/12/2020
Izmir Biomedicine and Genome Center,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant S protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Kazakh National Agrarian University,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant spike protein with Essai O/W 1849101 adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
"Kazakh National Agrarian University, Kazakhstan/ National Scientific Center for Especially Dangerous Infections",Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant spike protein with Essai O/W 1849101 adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
Kentucky BioProcessing (British American Tobacco),Vaccine,Protein subunit,Pre-clinical,"Phase I/II began recruiting December 2020, results expected mid-2021","RBD-based, (KBP-COVID-19)",NCT04473690,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
"LakePharma, Inc.",Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, nanoparticle vaccine",,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Lomonosov Moscow State University,Vaccine,Protein subunit,Pre-clinical,Unknown,Structurally modified spherical particles of the tobacco mosaic virus (TMV),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
Max-Planck Institute of Colloids and Interfaces,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant S protein,,KHAN-1 Technology Transfer Fund I GmbH & Co KG,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
MIGAL Galilee Research Institute,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; oral E. coli-based protein expression system of S and N proteins,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"MOGAM Institute for Biomedical Research, GC Pharma",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Mynvax,Vaccine,Protein subunit,Pre-clinical,Unknown,RBD-protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"National
  Research Centre, Egypt",Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein Subunit S, N, M & S1 protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Neo7Logix,Vaccine,Protein subunit,Pre-clinical,Unknown,Peptides,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Neovii/Tel Aviv University,Vaccine,Protein subunit,Pre-clinical,Unknown,RBD-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Ohio State University/ Kazakh National Agrarian University,Vaccine,Protein subunit,Pre-clinical,Unknown,RBD protein delivered in mannose-conjugated chitosan nanoparticle,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
OncoGen,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, synthetic long peptide vaccine candidate for S and M proteins",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Osaka University / BIKEN / National Institutes of Biomedical Innovation, Japan",Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, VLP-recombinant protein + adjuvant",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
PDS Biotechnology,Vaccine,Protein subunit,Pre-clinical,Unknown,PDS-0203; Versamune T-cell activating technology ,,Unknown,,"Same platform as vaccines against cancers, HBV, influenza, and tuberculosis",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Quadram Institute Biosciences,Vaccine,Protein subunit,Pre-clinical,Unknown,OMV-based vaccine,,Unknown,,"Same platform as vaccine candidates for Flu A, plaque
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
"Research
  Institute for Biological Safety Problems, Rep of Kazakhstan",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/3/2020
SK Biosciences/ GSK,Vaccine,Protein subunit,Pre-clinical,Phase I/II enrollment began February 2021,"SARS-CoV-2 recombinant protein nanoparticle vaccine, (GBP510)","NCT04742738, NCT04750343",Gates Foundation/ Coalition for Epidemic Preparedness (CEPI),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/12/2021
Soligenix/ University of Hawaii at Mānoa,Vaccine,Protein subunit,Pre-clinical,Pre-clinical testing results released in July 2020,CiVax™ COVID-19 vaccine candidate; spike protein + novel adjuvant,,"Soligenix, Inc. ",,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/27/2020
Sorrento Therapeutics,Vaccine,Protein subunit,Pre-clinical,Animal study results released July 2020,Recombinant fusion protein of the SARS-CoV-2 spike protein S1 domain and human IgG Fc (T-VIVA-19),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/17/2020
St. Petersburg Scientific Research Institute of Vaccines and Serums,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant protein, nanoparticles (based on S-protein and other epitopes)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tampere University,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant S protein produced in BEVS,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
UMN Pharma (Shionogi),Vaccine,Protein subunit,Pre-clinical,Phase I to start by end of 2020,"Protein subunit; recombinant protein vaccine, utilizing baculovirus expression vector system technology",,Japan Agency for Medical Research and Development,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
University  Medical Center Groningen/ Akston Biosciences Corporation/ LakePharma,Vaccine,Protein subunit,Pre-clinical,Phase I/II expected to begin January 2021,SARS-CoV-2-RBD-Fc fusion protein; (AKS-452),NCT04681092,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/12/2021
University of Alberta,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; spike based,,Unknown,,Same platform as vaccine candidates for Hepatitis C,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"University of California, San Diego",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; plant virus nanotechnology formulated as injectable and microneedle patch,,National Science Foundation (Rapid Response Research [RAPID] grant),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
University of Pittsburgh,Vaccine,Protein subunit,Pre-clinical,Phase I to start as early as June 2020,"PittCoVacc, Protein subunit, microneedle arrays S1 subunit",,Unknown,,Same platform as vaccine candidates for MERS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"University of San Martin and CONICET, Argentina",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/12/2020
University of Virginia,Vaccine,Protein subunit,Pre-clinical,Unknown,S subunit intranasal liposomal formulation with GLA/3M052 adjs.,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Vabiotech,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant S protein in IC-BEVS  ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Vaxil Bio,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; peptide,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Verndari/ University of California, Davis",Vaccine,Protein subunit,Pre-clinical,"Preliminary pre-clinical results are expected in the second half of 2020, Phase I trial is expected to begin thereafter; Selected by BARDA DRIVe for support in August 2020",Spike protein; VaxiPatch microneedle array dermal patch,,"Biomedical Advanced Research and Development Authority (BARDA) Division of Research, Innovation, and Ventures (DRIVe)",,Same platform as vaccines against influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/27/2020
Walter Reed Army Institute of Research (WRAIR) / U.S. Army Medical Research and Development Command,Vaccine,Protein subunit,Pre-clinical,Phase I expected to begin April 2021,Protein subunit; S protein (SpFN),NCT04784767,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
Yisheng Biopharma,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant protein  ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
The University of Hong Kong/ Xiamen University/ Wantai Biological Pharmacy,Vaccine,Replicating viral vector,Phase II,Phase II reportedly began November 2020; Phase I reportedly began September 2020; ; Approved for clinical trials in September 2020,"Replicating viral vector, intranasal flu-based RBD (DelNS1-2019-nCoV-RBD-OPT1)","ChiCTR2000037782, ChiCTR2000039715",Coalition for Epidemic Preparedness (CEPI),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
"Cellid
  Co., Ltd./IAVI",Vaccine,Replicating viral vector,Phase I/II,Phase I/IIa trial began December 2020,AdCLD-CoV19,NCT04666012,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
"Israel
  Institute for Biological Research/ Weizmann Institute of Science",Vaccine,Replicating viral vector,Phase I/II,Phase I/II began November 2020,rVSV-SARS-CoV-2-S vaccine,NCT04608305,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
"Aivita Biomedical, Inc./ National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",Vaccine,Replicating viral vector,Phase I,Phase I/II expected to begin February 2021; Phase I began December 2020,Dendritic cell vaccine AV-COVID-19,"NCT04690387, NCT04685603, NCT04386252",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Shenzhen Geno-Immune Medical Institute,Vaccine,Replicating viral vector,Phase I,Phase I reportedly began February 2020,Covid-19/aAPC vaccine,NCT04299724,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Aurobindo,Vaccine,Replicating viral vector,Pre-clinical,Unknown,VSV-S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
BIOCAD / IEM,Vaccine,Replicating viral vector,Pre-clinical,Unknown,"Replicating viral vector, live viral vectored vaccine based on attenuated influenza virus backbone (intranasal)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
DZIF - German Center for Infection Research/ CanVirex AG,Vaccine,Replicating viral vector,Pre-clinical,Unknown,"Measles virus (S, N targets)",,Unknown,,"Same platform as vaccine candidates for Zika, H7N9, CHIKV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"Farmacológicos
  Veterinarios SAC (FARVET SAC)",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Intranasal Newcastle disease virus vector (rNDV-FARVET) expressing S1 protein,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
Farmacológicos Veterinarios SAC (FARVET SAC),Vaccine,Replicating viral vector,Pre-clinical,Unknown,Intranasal Newcastle disease virus vector (rNDV-FARVET) expressing RBD protein,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; measles vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; VSV vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Replicating viral vector,Pre-clinical,Unknown,"Replicating viral vector, recombinant vaccine based on Influenza A virus, for the prevention of COVID-19 (intranasal)",,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Fundacao Oswaldo Cruz and Instituto Buntantan,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Attenuated Influenza expressing an antigenic portion of the Spike protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
Intravacc/ Wageningen Bioveterinary Research/Utrecht Univ.,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Newcastle disease virus vector (NDV-SARS-CoV-2/Spike),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
KU Leuven,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; YF17D Vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Icahn School of Medicine at Mount Sinai,Vaccine,Replicating viral vector,Pre-clinical,Phase I/II expected to begin March 2021,"NDV-HXP-S vaccine, with or without the adjuvant CpG 1018 ",NCT04764422,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
"The Lancaster University, UK",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Avian paramyxovirus vector (APMV),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Tonix Pharma / Southern Research,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; horsepox vector expressing S protein; TNX-1800,,Unknown,,"Same platform as vaccine candidates for smallpox, monkeypox",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
University of Manitoba,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating VSV vector-based DC-targeting,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
University of Western Ontario,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; VSV-S,,Unknown,,"Same platform as vaccine candidates for HIV, MERS",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
University of Wisconsin-Madison / FluGen/ Bharat Biotech,Vaccine,Replicating viral vector,Pre-clinical,Start Phase I trial in fall 2020,M2-deficient single replication (M2SR) influenza vector,,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Zydus Cadila Healthcare Limited ,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; measles vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
BioNTech/ Pfizer/ Fosun Pharma/ Rentschler Biopharma,Vaccine,RNA-based vaccine,Authorized,"Evaluation of the safety and immunogenicity of a third dose (30 µg booster of the current vaccine) 6 to 12 months after receiving initial two-dose regimen began 2/25/2021; New stability data at standard freezer temperature was submitted to the U.S. FDA as of 2/19/2021; Results from in vitro studies on neutralization of variants of SARS-CoV-2 by BNT162b2 vaccine-elicited sera announced January 2021; Phase I (China) preliminary safety and immunogenicity data released January 2021; Argentina authorized under ""emergency registration"" on 12/22/2020; European Commission granted a ""conditional marketing authorisation"" (CMA) on 12/21/2020, following European Medicines Agency (EMA) recommendation to grant CMA; U.S. FDA issued ""emergency use authorization"" on 12/11/2020; Mexico COFEPRIS granted ""emergency use authorization"" on 12/11/2020; Saudi Food and Drug Authority (SFDA) ""approved the registration"" of the vaccine on 12/10/2020; Health Canada ""authorized"" on 12/9/2020; Bahrain granted ""emergency use authorization"" on 12/4/2020; U.K. MHRA granted ""temporary authorization for emergency use"" on 12/2/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/20/2020; Phase III complete analysis results announced 11/18/2020, interim analysis results announced 11/09/2020; Phase I data published October 2020; FDA approved late-stage trial enrollment of children 12 years and older in October 2020; EMA rolling submission initiated on 10/6/2020; Study protocol for late-stage clinical trials released Sept 2020; Amended protocol to FDA to expand trial enrollment to 44,000 participants; Phase IIb/III trial began Jul 2020; FDA granted Fast Track designation for BNT162b1 and BNT162b2 in Jul 2020; Selected for US Operation Warp Speed in Jul 2020; Phase I/II began Apr 2020; preliminary data released Jul 2020, additional data published Aug, Sept, and Dec 2020; Pre-clinical data released Sept 2020 and Dec 2020","3 LNP-mRNAs; BNT162 
","ChiCTR2000034825, EudraCT 2020-001038-36, EudraCT 2020-003267-26, NCT04368728, NCT04380701, NCT04523571, NCT04537949, NCT04588480, NCT04649021, NCT04713553, NCT04754594",Unknown,"Pfizer (https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-announce-early-positive-data-ongoing-0), medRxiv (https://www.medrxiv.org/content/10.1101/2020.06.30.20142570v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.17.20140533v1), Nature (https://www.nature.com/articles/s41586-020-2639-4), medRxiv (https://www.medrxiv.org/content/10.1101/2020.08.17.20176651v1), Nature (https://www.nature.com/articles/s41586-020-2814-7), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2027906?query=featured_home), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2034577?query=featured_home), medRxiv (https://www.biorxiv.org/content/10.1101/2020.12.11.421008v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.09.20245175v1), Pfizer (https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-provide-data-german-phase-12-study), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.07.425740v1), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.18.426984v1), Research Square (https://www.researchsquare.com/article/rs-137265/v1) ",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
